Processes: 212 total, 4 running, 6 stuck, 202 sleeping, 1019 threads 
2014/07/31 06:55:02
Load Avg: 2.07, 2.75, 2.64 
CPU usage: 32.91% user, 45.56% sys, 21.51% idle 
SharedLibs: 9412K resident, 8388K data, 0B linkedit.
MemRegions: 46292 total, 1220M resident, 72M private, 346M shared.
PhysMem: 3004M used (1134M wired), 19M unused.
VM: 528G vsize, 1068M framework vsize, 0(0) swapins, 0(0) swapouts.
Networks: packets: 31360782/25G in, 29845626/18G out.
Disks: 978252/21G read, 388862/16G written.

PID    COMMAND          %CPU TIME     #TH  #WQ #PORTS #MREGS MEM    RPRVT  PURG   CMPRS  VPRVT VSIZE  PGRP  PPID  STATE    UID FAULTS    COW      MSGSENT   MSGRECV   SYSBSD    SYSMACH   CSW        PAGEINS KPRVT  KSHRD  IDLEW    POWER USER           
13     taskgated        0.0  02:04.40 5    1   46+    62+    2100K+ 1876K+ 0B     5000K+ 56M+  2438M+ 13    1     sleeping 0   1423543+  116+     511733+   127631+   8689968+  921771+   452243+    731+    3152K+ 66M+   139      0.0   root           
12     kextd            0.0  00:05.81 2    0   66+    107+   1596K+ 1204K+ 0B     4780K+ 46M+  2435M+ 12    1     sleeping 0   47809+    897+     13040+    6959+     69860+    16138+    17892+     4208+   2082K+ 180M+  147      0.0   root           
11     UserEventAgent   0.0  00:09.00 5    0   326+   132+   2196K+ 1824K+ 0B     4032K+ 54M+  2436M+ 11    1     sleeping 0   56789+    243+     190594+   90296+    266868+   298731+   256956+    501+    41M+   -16M+  4158     0.0   root           
1      launchd          0.0  03:30.36 3/1  0   2423+  96+    4196K+ 4148K+ 0B     1540K+ 60M+  2418M+ 1     0     running  0   810955+   216928+  6011499+  1570863+  16727424+ 8561416+  4836908+   638+    75M+   -478M+ 1445     0.0   root           
0      kernel_task      0.0  01:43:04 80/4 0   2+     680+   510M+  32M+   0B     0B     41M+  7646M+ 0     0     running  0   16335+    0        72778365+ 59978533+ 0         0         324273203+ 0       -2G+   0B     23697745 0.0   root           
Processes: 214 total, 2 running, 10 stuck, 202 sleeping, 1026 threads 
2014/07/31 06:55:03
Load Avg: 2.07, 2.75, 2.64 
CPU usage: 17.61% user, 17.40% sys, 64.98% idle 
SharedLibs: 9412K resident, 8388K data, 0B linkedit.
MemRegions: 46366 total, 1239M resident, 72M private, 302M shared.
PhysMem: 3006M used (1135M wired), 15M unused.
VM: 533G vsize, 1068M framework vsize, 0(0) swapins, 0(0) swapouts.
Networks: packets: 31360786/25G in, 29845634/18G out.
Disks: 978523/21G read, 388937/16G written.

PID    COMMAND          %CPU TIME     #TH  #WQ #PORTS #MREGS MEM    RPRVT  PURG   CMPRS  VPRVT  VSIZE  PGRP  PPID  STATE    UID FAULTS    COW      MSGSENT   MSGRECV   SYSBSD    SYSMACH   CSW        PAGEINS KPRVT  KSHRD  IDLEW     POWER USER           
77217  USBAgent         0.0  00:00.02 2    1   39     46     68K    28K-   0B     1052K  37M-   2412M  77217 424   sleeping 501 1807      179      137       68        665       285       202        4       210K   51K    5         0.0   tgreen         
76067  Transporter Desk 1.0  88:28.73 28   16  275    425    25M    24M    0B     58M    246M   2698M  76067 424   sleeping 501 1139889   4250     2496692+  1519837+  71408590+ 6263937+  6992605+   2947    17M-   -285M+ 136262+   2.4   tgreen         
71772  check_afp        0.0  00:05.44 4    0   48     41     492K   288K-  0B     436K   37M-   2411M  71772 1     sleeping 0   2091      85       1873      633       12384     7437      8266       18      1247K  208K   415       0.0   root           
71672  AirPlayUIAgent   0.0  00:01.16 3    0   195    78     1588K  1028K- 0B     1288K  53M-   2454M  71672 424   sleeping 501 10108     250      25564     8222      35983     41507     36743      62      2211K  -2M    495       0.0   tgreen         
69024  cpio             0.0  00:00.09 1    0   19+    35+    440K+  284K+  0B     0B     36M+   2395M+ 68070 69010 stuck    501 346+      68+      41+       16+       3189+     87+       239+       7+      152K+  1281K+ 0         0.0   tgreen         
69010  sh               0.0  00:00.00 1    0   15+    28+    624K+  536K+  0B     0B     27M+   2386M+ 68070 68070 sleeping 501 715+      239+     22+       11+       904+      53+       19+        0       207K+  99K+   0         0.0   tgreen         
68785  top              14.8 00:00.37 1/1  0   24+    40+    2336K+ 2108K+ 0B     0B     45M-   2403M+ 68070 1     running  0   3880+     81+      214809+   107404+   1416+     111666+   240+       3+      141K+  61K+   0         14.8  root           
68467  mdworker         1.6  00:00.06 6    3   54     61     1860K+ 1100K+ 0B     0B     39M-   2438M  68467 435   stuck    89  1868+     193      456       204       1243+     474       312+       4       223K-  419K+  3+        1.7   _spotlight     
68466  mdworker         1.4  00:00.07 6    3   54     61     1884K+ 1124K+ 0B     0B     39M-   2438M  68466 435   stuck    89  1923+     199      456       204       1243+     478       324+       5       222K-  312K+  5+        1.6   _spotlight     
68465  mdworker         0.9  00:00.04 6    3   54     61     1656K+ 896K-  0B     0B     39M-   2438M  68465 435   stuck    89  1704+     204      456       204       834+      475       271+       3       228K-  227K+  3+        1.0   _spotlight     
68432  hazelworker      0.0  00:00.58 5    3   56     143    30M    45M-   0B     0B     110M-  2508M  68432 790   stuck    501 24268+    4411+    385       168       2949+     747       842+       0       45K+   33K+   0         0.0   tgreen         
68070  sh               3.7  00:00.29 1    0   15     32     736K+  644K+  0B     0B     44M    2403M  68070 34108 sleeping 501 25436+    13176+   22        11        11609+    56        1428+      0       7019K+ 5969K+ 0         3.7   tgreen         
67901  com.connecteddat 0.0  00:00.01 2    0   25     44     968K   320K-  0B     0B     28M-   2402M  67901 1     sleeping 0   1344      175      39        16        299       95        28         0       171K   37K    0         0.0   root           
66073  DiskUnmountWatch 0.0  00:00.05 2    1   34     49     488K   272K-  0B     348K   37M-   2411M  66073 424   sleeping 501 1673      133      147       61        1076      256       498        94      219K   92K    12        0.0   tgreen         
65692  System Events    0.0  00:00.15 3    0   128    109    3928K  2452K- 0B     0B     37M-   2471M  65692 424   sleeping 501 3945      373      1117      395       4015      2309      1132       77      259K   190K   7         0.0   tgreen         
64993  mdworker         0.0  00:00.10 4    1   53     59     2044K  1132K- 0B     0B     38M-   2417M  64993 424   sleeping 501 2110      234      546       245       1624      654       415        10      192K   513K   22        0.0   tgreen         
64133  CVMCompiler      0.0  00:00.39 2    1   34     77     16M    16M-   0B     0B     57M-   2461M  64133 424   sleeping 501 7494      248      79        38        972       188       304        1235    217K   -12K   1         0.0   tgreen         
63621  mdworker         0.9  00:00.12 3    0   49     54     1848K+ 1068K- 0B     0B     37M-   2437M  63621 435   stuck    89  2166+     206      496       218       1928+     548       528+       33+     230K-  974K+  17+       1.0   _spotlight     
62128  VTDecoderXPCServ 0.0  00:00.11 2    0   51     77     2528K  1668K- 0B     0B     50M-   2453M  62128 1     sleeping 501 3448      277      637       274       1227      961       675        231     253K   171K   19        0.0   tgreen         
62098  com.apple.audio. 0.0  00:00.03 2    1   47     57     1456K  760K-  0B     0B     37M-   2413M  62098 1     sleeping 501 1710      206      212       82        922       387       284        21      190K   61K    0         0.0   tgreen         
62083  com.apple.audio. 0.0  00:00.02 2    1   31     46     1140K  552K-  0B     0B     37M-   2412M  62083 1     sleeping 501 1548      196      113       38        502       235       150        0       180K   43K    0         0.0   tgreen         
62082  mplayer          0.0  00:00.36 1    0   7      56     196K   156K   0B     0B     17M    2425M  62081 62081 stuck    501 79        24       8         4         18985+    8380+     9927+      3       112K+  1349K+ 3739      0.0   tgreen         
62081  mplayer          15.8 00:35.48 8    1   147    177    52M+   44M    0B     0B     61M-   2503M  62081 62043 sleeping 501 25588+    500      111631+   43816+    164013+   117415+   96382+     961     78K    1374K+ 5356+     16.6  tgreen         
62065  QuickLookSatelli 0.0  00:00.29 2    0   52     71     3476K  1924K- 0B     0B     22M-   2416M  62065 1     sleeping 501 3171      321      455       209       2085      861       1246       424     207K   585K   13        0.0   tgreen         
62043  MPlayerX         5.6  00:10.78 10   4   226    318    24M+   16M+   20K    52K    105M+  2811M  62043 424   sleeping 501 29120+    441+     174405+   79077+    65728+    177307+   58366+     706+    859K-  -1M-   5299+     6.3   tgreen         
62042  quicklookd       0.0  00:00.32 4    0   80     75     4276K  2916K- 0B     0B     548M-  2948M  62042 424   sleeping 501 3270      286      392       144       3045      712       1126       264     252K   629K   7         0.0   tgreen         
61616  CVMCompiler      0.0  00:00.33 2    1   31     69     12M    11M-   0B     0B     48M-   2441M  61616 424   sleeping 501 6800      257      63        26        721       160       560        2801    198K   79K    0         0.0   tgreen         
61615  netbiosd         0.0  00:00.03 2    1   42     41     940K   536K-  0B     0B     37M-   2412M  61615 1     sleeping 222 916       206      149       44        820       267       451        9       180K   136K   10        0.0   _netbios       
59414  com.apple.iCloud 0.0  00:00.61 5    0   87     78     2728K  2260K- 0B     904K   54M-   2436M  59414 1     sleeping 501 3696      268      974       414       6767      1733      1906       210     292K   612K   57        0.0   tgreen         
58255  WiFiKeychainProx 0.0  00:00.04 2    0   55     43     628K   408K-  0B     412K   53M-   2433M  58255 424   sleeping 501 1251      149      551       257       1083      707       569        29      292K   206K   13        0.0   tgreen         
57309  xpcd             0.0  00:00.05 2    0   32     40     8192B  4096B  0B     1952K  54M-   2412M  57309 1     sleeping 89  1162      86       98        56        953       291       358        2       151K   259K   5         0.0   _spotlight     
55097  EscrowSecurityAl 0.0  00:00.88 3    0   140    82     1556K  1036K- 0B     2224K  53M-   2472M  55097 424   sleeping 501 10004     420      19543     5272      12059     33922     22805      92      1341K  -2M    141       0.0   tgreen         
54985  cookied          0.0  00:00.05 2    0   52     48     860K   148K-  0B     2636K  -11M+  2411M  54985 424   sleeping 501 1482      145      259       127       3738      617       399        3       177K   76K    1         0.0   tgreen         
53499  spindump_agent   0.0  00:00.02 2    1   52     50     552K   296K-  0B     552K   37M-   2414M  53499 424   sleeping 501 1051      159      189       74        525       343       276        2       210K   44K    0         0.0   tgreen         
49370  1Password 4      3.3  20:07.99 7    0   228    852    29M    22M+   0B     18M    176M+  2640M  49370 424   sleeping 501 392031    1017     10839979+ 3788905+  3696796+  7649573+  7001170+   2951    4980K  -11M-  774240+   4.0   tgreen         
48731  com.apple.ColorS 0.0  00:00.01 2    1   30     45     48K    16K-   0B     992K   37M-   2412M  48731 1     sleeping 501 1608      195      112       43        500       234       152        0       190K   49K    2         0.0   tgreen         
48304  com.apple.BKAgen 0.0  00:00.05 2    1   53     57     556K   356K-  0B     1328K  37M-   2435M  48304 1     sleeping 501 2744      329      272       132       982       562       594        12      250K   139K   2         0.0   tgreen         
48260  syspolicyd       0.0  00:00.02 2    1   23     40     8192B  4096B  0B     1684K  53M-   2412M  48260 1     sleeping 0   713       87       51        19        305       117       82         5       153K   60K    0         0.0   root           
48258  Preview          0.0  00:02.62 3    0   235    315    6288K  8004K+ 0B     18M    104M+  2567M  48258 424   sleeping 501 79746     657      24467     10684     17514     27200     16766      996     1625K  -92K   166       0.0   tgreen         
34108  zsh              0.0  00:00.41 1    0   19     56     1536K  1504K  0B     1244K  45M    2404M  34108 1741  sleeping 501 6391      1423     70        21        18410     173       1085       427     753K   2019K  0         0.0   tgreen         
33018  vim              0.0  00:00.14 1    0   19     35     704K   652K   0B     1036K  45M    2404M  33018 3582  sleeping 501 1422      129      37        12        2922      80        237        65      142K   102K   7         0.0   tgreen         
29611  com.apple.WebKit 0.0  01:58.33 11   0   274    460    31M    28M+   0B     22M    242M-  3609M  29611 1     sleeping 501 398743    646      361781    171487    1111454   718092    454851     14333   13M    102M   5684      0.0   tgreen         
23256  vim              0.0  00:00.27 1    0   19     35     568K   524K   0B     1168K  44M    2404M  23256 1743  sleeping 501 1327      119      37        12        4458      80        443        92      138K   79K    1         0.0   tgreen         
18954  mdflagwriter     0.0  00:00.00 2    1   24     37     204K   96K-   0B     348K   45M-   2403M  18954 18952 sleeping 99  457       81       65        21        373       156       60         0       140K   50K    2         0.0   _unknown       
18952  launchd          0.0  00:00.04 2    0   62     39     272K   204K   0B     304K   47M    2413M  18952 1     sleeping 99  829       185      1906      624       2260      1865      964        0       158K   55K    19        0.0   _unknown       
13285  ssh-agent        0.0  00:00.18 3    0   52     46     724K   524K-  0B     832K   63M-   2422M  13285 424   sleeping 501 2772      150      2465      1503      5828      3939      4179       32      1314K  178K   50        0.0   tgreen         
11933  com.apple.hiserv 0.0  00:00.02 2    0   34     42     12K    -4K+   0B     1008K  29M-   2403M  11933 1     sleeping 501 1501      201      101       38        421       222       91         0       165K   53K    0         0.0   tgreen         
8894   com.apple.WebKit 0.0  00:04.19 14   0   274    559    3424K  2388K- 0B     64M    266M-  3610M  8894  1     sleeping 501 67793     576      35554     13715     56467     76112     54859      355     3493K  -2M    1005      0.0   tgreen         
7370   imklaunchagent   0.0  00:00.17 2    0   61     47     660K   360K-  0B     1404K  62M-   2423M  7370  424   sleeping 501 3037      140      4432      2224      8110      4895      4468       10      1382K  247K   148       0.0   tgreen         
6745   vim              0.0  00:00.16 1    0   19     35     472K   416K-  0B     1132K  44M-   2404M  6745  6279  sleeping 501 1132      109      37        12        3306      80        406        28      122K   41K    12        0.0   tgreen         
6279   zsh              0.0  00:00.14 1    0   19     56     8192B  0B     0B     2840K  37M    2404M  6279  1741  sleeping 501 3225      684      70        21        15105     171       117        0       381K   156K   0         0.0   tgreen         
3582   zsh              0.0  00:00.30 1    0   19     56     8192B  4096B  0B     3212K  45M    2404M  3582  1741  sleeping 501 5757      1291     71        22        28238     173       503        6       699K   322K   1         0.0   tgreen         
1743   zsh              0.0  00:00.23 1    0   19     56     8192B  4096B  0B     2936K  45M    2404M  1743  1741  sleeping 501 4402      964      84        28        19600     211       372        1       500K   685K   0         0.0   tgreen         
1741   tmux             1.1  06:17.27 1    0   8      46     6688K  6620K+ 0B     25M    44M    2411M  1741  1     sleeping 501 8655026+  4553465+ 32        5         11201375+ 46        1055975+   167     785M+  474M+  17604+    1.1   tgreen         
1693   tmux             0.0  00:00.03 1    0   15     32     188K   116K   0B     280K   19M    2387M  1693  652   sleeping 501 1376      512      37        18        2303      96        92         16      297K   395K   0         0.0   tgreen         
1204   com.apple.MailSe 0.0  00:01.21 3    0   130    123    1372K  868K-  0B     1892K  53M-   2454M  1204  1     sleeping 501 11586     450      21113     5544      36567     37260     35807      162     2106K  -3M    562       0.0   tgreen         
1150   com.apple.securi 0.0  00:01.42 3    0   131    78     2012K  1496K- 0B     2164K  53M-   2454M  1150  1     sleeping 501 11766     390      23257     6956      39954     44938     40428      42      2732K  -3M    576       0.0   tgreen         
1118   systemstatsd     0.0  00:01.77 2    1   26     40     20K    20K    0B     2552K  54M-   2412M  1118  1     sleeping 0   18988     71       1397      561       46130     2022      12753      848     436K   8433K  82        0.0   root           
974    com.apple.WebKit 0.0  00:43.32 5    0   107    532    6676K  4648K- 0B     29M    49M-   3494M  974   1     sleeping 501 83734     2317     290742    159696    1459164   935277    897592     764     10M    67M    1120      0.0   tgreen         
972    Safari           0.0  01:55.63 18   0   453    1475   70M    56M-   0B     95M    401M-  3688M  972   424   sleeping 501 608483    2638     307747    178192    1029167   1417650   845087     9196    13M    25M    3216      0.0   tgreen         
953    mdflagwriter     0.0  00:03.32 2    1   24     210    392K   280K-  0B     21M    57M-   2432M  953   424   sleeping 501 23964     81       10467     5222      108134    40385     19035      2       5704K  2099K  570       0.0   tgreen         
915    ConnectedDataRes 0.0  00:19.13 4    1   135    83     1872K  1256K- 0B     1932K  64M-   2481M  915   424   sleeping 501 11948     266      453719+   262935+   937658+   881569+   639843+    101     4739K  -4M    3098      0.0   tgreen         
898    Karabiner_AXNoti 0.1  01:12.80 5    2   197    104    4296K  3648K- 0B     1716K  76M-   2496M  898   424   sleeping 501 223818+   293      794694+   559528+   383203+   2284859+  558933+    163     -25K   -31M-  32391+    0.1   tgreen         
880    CIJScannerRegist 0.0  00:12.87 6    0   136    86     1668K  1124K- 0B     1472K  53M-   2470M  880   424   sleeping 501 55279     275      78905     34112     667224+   110953    261699+    15      54M    28M-   70789+    0.0   tgreen         
877    Image Capture Ex 0.0  00:01.54 3    0   144    91     2024K  1424K- 0B     2516K  67M-   2486M  877   424   sleeping 501 12922     334      35704     12372     35310     47754     38199      189     2244K  -2M    571       0.0   tgreen         
855    TextExpander Hel 0.0  00:03.61 10   2   187    194    4576K  3120K- 0B     5356K  192M-  3523M  855   424   sleeping 501 22996     452      57200     24427     44232     109936    63615      725     4898K  -10M   904       0.0   tgreen         
854    Finder           0.1  00:45.64 12   5   249    246    13M    12M-   0B     33M    191M-  2618M  854   424   sleeping 501 441017+   710      386399    278471+   1080195+  1042559+  555167+    2066    5079K  -174M- 5053      0.1   tgreen         
834    com.bourgeoisbit 0.0  00:00.09 3    0   43     39     252K   152K-  0B     800K   63M-   2444M  834   1     sleeping 0   2331      138      1371      675       5939      2085      3319       3       1390K  211K   101       0.0   root           
808    storeagent       0.0  00:03.66 7    3   140    89     4628K  4036K- 0B     6096K  44M-   2446M  808   424   sleeping 501 16357     326      23142     14116     150076    49545     101156     908     5444K  -6M    284       0.0   tgreen         
805    com.apple.geod   0.0  00:00.05 2    0   53     42     536K   348K-  0B     1104K  52M-   2411M  805   1     sleeping 501 1854      189      266       120       971       573       558        41      196K   149K   0         0.0   tgreen         
801    Karabiner        0.0  00:04.34 5    0   182    152    5712K  4808K- 0B     16M    96M-   2580M  801   424   sleeping 501 22807     367      47402     18679     70515     63404     52677      393     3049K  43M    555       0.0   tgreen         
800    Cloak            0.0  00:05.00 7    2   200    160    4388K  3468K- 0B     11M    60M-   2495M  800   424   sleeping 501 24863     458      62154     30657     112092    136839    111048     1953    5113K  -18M   1409      0.0   tgreen         
797    Seil             0.0  00:01.81 5    0   186    156    3220K  2564K- 0B     9412K  63M-   2550M  797   424   sleeping 501 15061     362      34721     12684     42344     53750     45727      86      3010K  -3M    680       0.0   tgreen         
796    Memory Clean     0.0  00:10.61 7    2   177    179    5324K  3984K- 0B     3944K  55M-   2478M  796   424   sleeping 501 40956     353      77607     43290     92443     227111    93960      261     4663K  -10M   3953      0.0   tgreen         
794    BlueHarvest      0.0  00:12.38 9    2   226    210    7048K  4944K- 0B     9948K  64M-   2506M  794   424   sleeping 501 47337     542      42898     17318     85693     93308     281729     393     3762K  -22M   638       0.0   tgreen         
793    ScreenSharingMen 0.0  00:02.79 6    2   163    129    3068K  2184K- 0B     3496K  55M-   2476M  793   424   sleeping 501 15681     400      39095     15485     40480     91286     58712      288     4157K  -10M   703       0.0   tgreen         
792    Growl            0.0  00:06.31 5    1   174    163    4792K  4104K- 0B     21M    82M-   2509M  792   424   sleeping 501 68681+    473      51161+    17602     126902+   107889+   82020+     2645    6998K  171K   6466      0.0   tgreen         
791    Clocks           0.0  00:03.08 8    2   169    127    2756K  1912K- 0B     2676K  48M-   2476M  791   424   sleeping 501 14493     368      46817     20886     61006     111810    74691      104     4514K  -10M   643       0.0   tgreen         
790    HazelHelper      0.0  00:16.71 11   8   200    226    4436K  3536K- 0B     48M    135M-  2575M  790   424   sleeping 501 105931+   5957     768473+   378813+   291735+   614015+   160131+    459     26M    991K-  1937      0.0   tgreen         
786    LaunchBar        6.4  03:41.33 8    2   299    531    64M    60M-   4096B  30M    324M-  2785M  786   424   sleeping 501 275541+   2316     229903+   111045+   16596470+ 1024949+  503463+    3640    18M+   194M+  34764+    6.4   tgreen         
785    Cobook           0.0  00:08.37 7    2   192    638    9740K  4948K- 0B     31M    144M-  3662M  785   424   sleeping 501 95790     10829    73665     30588     106759    163657    115217     3959    6899K  -5M    1799      0.0   tgreen         
784    Dropzone 3       0.0  03:01.79 7    2   172    489    11M    10M-   16K    5740K  75M-   2500M  784   424   sleeping 501 1342732   460      126384    46096     7886329   666674    289154     1943    7629K  35M    29121     0.0   tgreen         
783    Keyboard Maestro 0.1  01:39.22 7    3   206    222    9584K  8428K- 0B     23M    113M-  2552M  783   424   sleeping 501 95223     4713     204947    97178     784152+   4583585+  922415+    4823    4102K  -30M   215848+   0.3   tgreen         
782    Fantastical      0.0  00:34.38 8    2   217    304    17M    15M-   0B     22M    104M-  2542M  782   424   sleeping 501 81681     859      81628     28505     191212    171353    183473     2509    8752K  -9M    3614      0.0   tgreen         
781    TextExpander     0.0  00:08.92 8    2   304    327    9292K  6712K- 0B     16M    88M-   3556M  781   424   sleeping 501 40070     825      113576    44355     162170    189522    138971     5729    5433K  -7M    7684      0.0   tgreen         
779    Moom             0.0  00:20.49 7    2   198    160    4876K  4004K- 0B     7684K  73M-   2513M  779   424   sleeping 501 49429     364      249634    103084    215987    490568    227001     416     4705K  -44M   1521      0.0   tgreen         
777    PopClip          0.0  00:37.88 7    3   241    323    6496K  4668K- 0B     5228K  48M-   3576M  777   424   sleeping 501 220166    470      357715    154921    342952    657309    349999     1603    5183K  -53M   8361      0.0   tgreen         
776    Bartender        0.0  01:47.39 7    2   196    153    6544K  5604K- 0B     5304K  72M-   2494M  776   424   sleeping 501 334462    450      715897    381011    1379532   1401137   980622     745     3595K  -11M   4181      0.0   tgreen         
775    gamed            0.0  00:01.84 5    0   186    141    2924K  2336K- 0B     3512K  58M-   2475M  775   424   sleeping 501 13647     627      26073     7850      41472     41770     41420      483     2314K  -3M    523       0.0   tgreen         
772    Flux             0.1  00:33.15 7    2   177    249    4072K  2088K- 0B     3708K  -768K+ 3507M  772   424   sleeping 501 375721+   601      331944+   33102     91863     958847+   465308+    225     -104K+ -274M- 33247     0.1   tgreen         
770    iTunesHelper     0.0  00:00.73 3    0   69     81     1112K  676K-  0B     1696K  37M-   2438M  770   424   sleeping 501 8410      310      12976     3276      7049      30685     19814      125     1322K  -3M    203       0.0   tgreen         
767-   SpotifyWebHelper 0.0  00:01.87 3    0   46     69     640K   392K-  0B     1972K  49M-   641M   767   424   sleeping 501 2635      326      200       88        53967     21729     10608      1219    196K   203K   529       0.0   tgreen         
766    iStatMenusAgent  0.0  00:00.23 4    0   68     57     780K   556K-  0B     1048K  53M-   2436M  766   424   sleeping 501 4651      210      3021      1961      9614      7489      6701       106     2097K  273K   102       0.0   tgreen         
755    helpd            0.0  00:00.09 2    0   45     46     496K   304K-  0B     696K   37M-   2434M  755   424   sleeping 501 3121      176      1337      664       5859      2123      3353       0       1371K  166K   101       0.0   tgreen         
750    SocialPushAgent  0.0  00:00.06 2    0   61     58     592K   420K-  0B     1184K  53M-   2435M  750   424   sleeping 501 2484      222      572       290       1380      845       766        4       211K   105K   0         0.0   tgreen         
748-   notificator      0.0  00:00.16 2    0   46     51     428K   300K-  0B     608K   48M-   639M   748   424   sleeping 501 2696      125      1393      701       5865      2156      3568       584     1819K  -1M    146       0.0   tgreen         
743    J8RPQ294UB.com.s 0.0  00:03.00 5    2   134    101    2152K  1480K- 0B     1980K  54M-   2473M  743   424   sleeping 501 13684     371      45635     19692     61556     108381    73691      39      4012K  -11M   788       0.0   tgreen         
739    2BUA8C4S2C.com.a 0.0  00:11.81 8    2   185    361    5328K  4524K- 0B     8732K  63M-   2473M  739   424   sleeping 501 37324     604      79351     37938     120391    159622    108062     1232    8072K  -7M    1813      0.0   tgreen         
652    zsh              0.0  00:00.27 1    0   19     56     8192B  4096B  0B     3004K  45M    2404M  652   651   sleeping 501 2872      597      45        16        13783     113       275        142     404K   2861K  0         0.0   tgreen         
651    login            0.0  00:00.03 2    0   30     45     8192B  4096B  0B     964K   45M    2403M  651   507   sleeping 0   827       144      99        43        4991      192       129        1       156K   109K   0         0.0   root           
648    VDCAssistant     0.0  00:00.75 4    0   88     73     708K   488K-  0B     1152K  38M-   2460M  648   1     sleeping 0   7270      213      22217     8325      6278      28986     23616      193     1332K  -4M    108       0.0   root           
645    com.apple.InputM 0.0  00:00.19 2    0   55     64     1132K  920K-  0B     1384K  57M-   2438M  645   1     sleeping 501 4694      234      939       501       4463      1851      2436       165     308K   371K   5         0.0   tgreen         
644    EvernoteHelper   0.0  00:03.31 5    2   159    145    5276K  3876K- 0B     2940K  60M-   2488M  644   424   sleeping 501 18485     367      49263     19977     60314     94779     67672      303     4985K  -12M   1276      0.0   tgreen         
642    AppleSpell       0.0  00:02.04 2    0   75     89     832K   608K-  0B     6312K  42M-   2469M  642   424   sleeping 501 10132     227      36975     18154     7418      25131     5967       2801    1541K  320K   163       0.0   tgreen         
633    pbs              0.0  00:00.29 2    1   51     46     868K   604K-  0B     1364K  37M-   2414M  633   424   sleeping 501 3550      137      546       364       6745      1190      1887       92      422K   500K   14        0.0   tgreen         
615    ScopedBookmarkAg 0.0  00:00.26 2    1   41     58     268K   152K-  0B     5384K  39M-   2437M  615   424   sleeping 501 4943      145      207       115       7967      431       3771       16      1464K  244K   105       0.0   tgreen         
605    coresymbolicatio 0.0  00:00.11 2    1   27     37     208K   116K-  0B     532K   54M-   2412M  605   1     sleeping 0   6482      102      1348      889       3897      1862      2263       2607    277K   65K    1         0.0   root           
567    accountsd        0.0  00:02.81 2    0   67     87     1964K  1576K- 0B     1076K  57M-   2439M  567   424   sleeping 501 12932     265      3704      1572      24366     7209      12231      757     1655K  968K   168       0.0   tgreen         
562    lsboxd           0.0  00:00.45 2    1   93     63     976K   680K-  0B     2108K  57M-   2458M  562   424   sleeping 501 4652      152      3465      1691      10425     4273      5825       32      1508K  230K   114       0.0   tgreen         
561    CalendarAgent    0.0  00:26.44 4    0   160    180    18M    16M-   0B     4980K  66M-   2461M  561   424   sleeping 501 80033     834      43488     24489     188101    95411     127367     4742    3749K  115K   489       0.0   tgreen         
552    secd             0.0  00:00.93 2    1   74     51     888K   676K-  0B     676K   37M-   2435M  552   424   sleeping 501 5183      159      3625      2341      23189     4880      9470       313     1865K  191K   157       0.0   tgreen         
550    identityservices 0.0  00:03.21 4    0   118    82     2000K  1292K- 0B     3164K  22M-   2439M  550   424   sleeping 501 15616     397      12860     6415      49103     32311     29583      1416    2856K  1677K  257       0.0   tgreen         
548    com.apple.dock.e 0.0  00:01.31 3    0   145    119    2160K  1504K- 0B     2728K  53M-   2460M  548   1     sleeping 501 13718     552      22253     5844      38103     39627     36726      182     2204K  -3M    492       0.0   tgreen         
543    com.apple.intern 0.0  00:03.80 3    0   183    228    5444K  3976K- 0B     5604K  45M-   2484M  543   1     sleeping 501 25683     813      28909     10215     57160     56891     48989      1487    3053K  -3M    531       0.0   tgreen         
542    imagent          0.0  00:03.06 4    0   104    132    3488K  1548K- 0B     3016K  -9M+   2442M  542   424   sleeping 501 15773     383      24268     12371     56974     54914     39375      2164    2937K  13M    377       0.0   tgreen         
537    com.apple.IconSe 0.0  00:04.14 4    3   99     281    4060K  3408K- 0B     188M   223M-  2600M  537   1     sleeping 501 79361     233      7919      9626      100460    17257     49110      720     7194K  7689K  655       0.0   tgreen         
536    com.apple.ShareK 0.0  00:02.22 3    0   150    184    1760K  1176K- 0B     13M    62M-   2470M  536   1     sleeping 501 134567    3499     24190     6772      41444     42338     38667      5284    2330K  -3M    504       0.0   tgreen         
534    soagent          0.0  00:01.86 2    0   121    116    3656K  3040K- 0B     4816K  50M-   2455M  534   424   sleeping 501 20910     470      6583      4284      19400     16497     15512      1022    1691K  -687K  166       0.0   tgreen         
533    filecoordination 0.0  00:00.15 2    1   91     43     780K   520K-  0B     460K   53M-   2434M  533   1     sleeping 0   2951      121      436       493       4756      1268      2310       165     356K   -13K   17        0.0   root           
531    NotificationCent 0.0  00:12.61 5    2   250    382    9132K  7352K- 0B     4584K  59M-   2524M  531   424   sleeping 501 39941     464      69248     31469     121771    154665    109609     2288    4748K  -7M    1222      0.0   tgreen         
530    usernoted        0.0  00:02.88 2    0   127    57     2472K  2188K- 0B     2460K  53M-   2435M  530   424   sleeping 501 11485     174      5166      3534      42498     12509     20674      451     2757K  1896K  286       0.0   tgreen         
529    ubd              0.0  00:05.16 10   0   145    91     4780K  4272K- 0B     2388K  47M-   2446M  529   424   sleeping 501 24470     353      10459     5701      104122    18007     53919      1240    2554K  1215K  255       0.0   tgreen         
